Date,Ticker,Open,High,Low,Close,Volume,Shares,Purchase_Price,Purchase_Date,Asset_Name,Asset_Class,Position_Value,Cost_Basis,Unrealized_Gain,Unrealized_Gain_Pct,Price_Change,Price_Change_Pct
2025-07-10,V,355.499081267829,356.2861432370634,352.13171353875424,354.5526428222656,6121300.0,110,272.3,10/02/2025,Visa Inc,Equity,39000.79071044922,29953.0,9047.790710449219,30.20662608235976,-1.87298583984375,-0.5254913477670597
2025-07-11,V,351.19519745971826,352.490336482722,343.10548877187523,346.6322631835937,7580200.0,110,272.3,10/02/2025,Visa Inc,Equity,38129.548950195305,29953.0,8176.548950195305,27.297929924198925,-7.920379638671932,-2.2339079397702744
2025-07-14,V,346.0942721651195,350.65717568109545,343.7231445479368,349.1926574707031,5598900.0,110,272.3,10/02/2025,Visa Inc,Equity,38411.192321777344,29953.0,8458.192321777344,28.238214274955244,2.560394287109432,0.7386485792158615
2025-07-15,V,346.8215501881821,348.90375109580543,345.4666374153511,345.72564697265625,4891700.0,110,272.3,10/02/2025,Visa Inc,Equity,38029.82116699219,29953.0,8076.8211669921875,26.964982362341626,-3.467010498046875,-0.9928646619202675
2025-07-16,V,345.9946592428949,349.36205712044364,344.5101960863047,348.59490966796875,5544200.0,110,272.3,10/02/2025,Visa Inc,Equity,38345.44006347656,29953.0,8392.440063476562,28.01869616891985,2.8692626953125,0.8299247453688041
2025-07-17,V,348.69454277896045,350.05942798180934,347.180223138528,348.5052490234375,4747100.0,110,272.3,10/02/2025,Visa Inc,Equity,38335.577392578125,29953.0,8382.577392578125,27.98576901338138,-0.08966064453125,-0.025720583417765397
2025-07-18,V,348.1964111134523,348.1964111134523,345.86514265316004,347.7480773925781,4927600.0,110,272.3,10/02/2025,Visa Inc,Equity,38252.288513183594,29953.0,8299.288513183594,27.707703779867103,-0.757171630859375,-0.217262618850389
2025-07-21,V,347.75804976811514,352.3309260245521,347.1005078326877,349.63104248046875,5216300.0,110,272.3,10/02/2025,Visa Inc,Equity,38459.41467285156,29953.0,8506.414672851562,28.399207668185365,1.882965087890625,0.5414739031798899
2025-07-22,V,349.7904323155645,353.1578300616048,348.8937953213748,350.5475769042969,4614200.0,110,272.3,10/02/2025,Visa Inc,Equity,38560.233459472656,29953.0,8607.233459472656,28.73579761450491,0.916534423828125,0.26214332037730603
2025-07-23,V,351.6833765055111,354.45300641311536,349.9000443552226,353.96484375,4385600.0,110,272.3,10/02/2025,Visa Inc,Equity,38936.1328125,29953.0,8983.1328125,29.990761568123393,3.417266845703125,0.9748368184088418
2025-07-24,V,353.4965854726207,355.8477684564496,352.5401442283067,352.6497497558594,5887200.0,110,272.3,10/02/2025,Visa Inc,Equity,38791.47247314453,29953.0,8838.472473144531,29.507803803106636,-1.315093994140625,-0.3715323759863165
2025-07-25,V,352.67964313307067,356.3160232032684,351.6933453857131,355.70831298828125,3915400.0,110,272.3,10/02/2025,Visa Inc,Equity,39127.91442871094,29953.0,9174.914428710938,30.63103671989763,3.058563232421875,0.8673090607718592
2025-07-28,V,355.0507439631318,356.98351039411625,353.4069043748977,354.1441345214844,3921000.0,110,272.3,10/02/2025,Visa Inc,Equity,38955.85479736328,29953.0,9002.854797363281,30.056604671863525,-1.564178466796875,-0.43973626977011904
2025-07-29,V,354.9610868905531,356.9835140027489,349.5015157287816,349.979736328125,7402300.0,110,272.3,10/02/2025,Visa Inc,Equity,38497.77099609375,29953.0,8544.77099609375,28.527262698540213,-4.164398193359375,-1.175904889399415
2025-07-30,V,350.3882277115597,355.2898598765481,345.9348988766755,349.6011657714844,12129700.0,110,272.3,10/02/2025,Visa Inc,Equity,38456.12823486328,29953.0,8503.128234863281,28.38823568545148,-0.378570556640625,-0.10816927877381755
2025-07-31,V,347.6285438014256,351.5040493641104,343.80286998959,344.18145751953125,8641700.0,110,272.3,10/02/2025,Visa Inc,Equity,37859.96032714844,29953.0,7906.9603271484375,26.397891119915997,-5.419708251953125,-1.550254628011083
2025-08-01,V,342.816541931462,344.87882830191904,336.8389214283981,338.0842590332031,8658700.0,110,272.3,10/02/2025,Visa Inc,Equity,37189.268493652344,29953.0,7236.268493652344,24.158743677268866,-6.097198486328125,-1.7715069632948222
2025-08-04,V,340.4255065101513,343.09550309049547,338.7318351727871,340.8738098144531,7335300.0,110,272.3,10/02/2025,Visa Inc,Equity,37496.119079589844,29953.0,7543.119079589844,25.18318392010765,2.78955078125,0.8251051939617282
2025-08-05,V,340.8738443345462,341.1826856655917,334.2984549051444,336.17144775390625,7295600.0,110,272.3,10/02/2025,Visa Inc,Equity,36978.85925292969,29953.0,7025.8592529296875,23.456279013553523,-4.702362060546875,-1.3795023041243581
2025-08-06,V,337.03817739888945,340.1565078127774,334.1788869515231,338.4728088378906,5944100.0,110,272.3,10/02/2025,Visa Inc,Equity,37232.00897216797,29953.0,7279.008972167969,24.301435489493436,2.301361083984375,0.6845795796640797
2025-08-07,V,340.1565083848378,340.8738241055448,327.4740088946156,330.8513488769531,8797100.0,110,272.3,10/02/2025,Visa Inc,Equity,36393.648376464844,29953.0,6440.648376464844,21.50251519535554,-7.6214599609375,-2.251720008796265
2025-08-08,V,332.4354211557436,336.12163292547643,331.4889827418276,335.5238647460937,6073900.0,110,272.3,10/02/2025,Visa Inc,Equity,36907.625122070305,29953.0,6954.625122070305,23.21845932651255,4.672515869140568,1.4122704607374414
2025-08-11,V,335.4740770579288,336.5998368503683,333.2623559867912,334.64715576171875,5715800.0,110,272.3,10/02/2025,Visa Inc,Equity,36811.18713378906,29953.0,6858.1871337890625,22.896494954725945,-0.8767089843749432,-0.26129556687074507
2025-08-12,V,334.537376560292,337.9805381997309,334.14813290707946,336.0743103027344,5682800.0,110,272.3,10/02/2025,Visa Inc,Equity,36968.17413330078,29953.0,7015.174133300781,23.420606060497384,1.427154541015625,0.42646546263545027
2025-08-13,V,336.3138672035153,342.8010179707801,336.11425038162224,341.8728332519531,5693400.0,110,272.3,10/02/2025,Visa Inc,Equity,37606.011657714844,29953.0,7653.011657714844,25.55006729781606,5.79852294921875,1.7253692922840402
2025-08-14,V,342.26205999749146,345.3958368369868,340.99458156715644,344.8070068359375,6224000.0,110,272.3,10/02/2025,Visa Inc,Equity,37928.770751953125,29953.0,7975.770751953125,26.627619109782408,2.934173583984375,0.8582646231565239
2025-08-15,V,345.5655119519281,347.6713261561845,342.18219889052205,343.7890319824219,4946600.0,110,272.3,10/02/2025,Visa Inc,Equity,37816.793518066406,29953.0,7863.793518066406,26.25377597591696,-1.017974853515625,-0.2952303269173395
2025-08-18,V,343.1602705029361,345.04654884437423,340.2759994854355,342.0624389648437,3999600.0,110,272.3,10/02/2025,Visa Inc,Equity,37626.868286132805,29953.0,7673.868286132805,25.619698481396874,-1.7265930175781818,-0.5022245787254964
2025-08-19,V,341.8828086987844,345.65533499710955,341.21415024263985,341.7730407714844,4457200.0,110,272.3,10/02/2025,Visa Inc,Equity,37595.03448486328,29953.0,7642.034484863281,25.51341930645772,-0.28939819335931816,-0.08460390864167833
2025-08-20,V,342.72114050632774,346.7531625237432,342.172239961712,343.2500915527344,5834400.0,110,272.3,10/02/2025,Visa Inc,Equity,37757.51007080078,29953.0,7804.510070800781,26.05585440790833,1.47705078125,0.4321729934917862
2025-08-21,V,342.2121832375114,343.83893543885483,339.048436351766,343.0105895996094,6073600.0,110,272.3,10/02/2025,Visa Inc,Equity,37731.16485595703,29953.0,7778.164855957031,25.96789922864832,-0.239501953125,-0.06977476744188804
2025-08-22,V,344.5375436989163,350.5057329383481,344.5375436989163,349.3480224609375,4973200.0,110,272.3,10/02/2025,Visa Inc,Equity,38428.282470703125,29953.0,8475.282470703125,28.29527082663882,6.337432861328125,1.847591022984374
2025-08-25,V,348.9188484647155,350.02666996600544,346.8130343003853,348.13043212890625,8019800.0,110,272.3,10/02/2025,Visa Inc,Equity,38294.34753417969,29953.0,8341.347534179688,27.848120502719887,-1.21759033203125,-0.3485321953317744
2025-08-26,V,348.0006804946336,352.7013608124369,346.76314158515,350.4857482910156,5876200.0,110,272.3,10/02/2025,Visa Inc,Equity,38553.43231201172,29953.0,8600.432312011719,28.713091550134273,2.355316162109375,0.6765614105339823
2025-08-27,V,350.0166833752698,352.7313075070124,349.1484081253768,349.65740966796875,5531100.0,110,272.3,10/02/2025,Visa Inc,Equity,38462.31506347656,29953.0,8509.315063476562,28.408890807186467,-0.828338623046875,-0.23634017277047725
