Date,Portfolio_Value,Daily_Return,Cumulative_Return,Peak,Drawdown,Daily_Return_Pct,Portfolio_Gain_Loss,Return_Category
2025-07-22,445587.1521759033,0.0004386780801637,39.116665337195045,445587.1521759033,0.0,0.043867808016370004,125289.68738555908,Positive
2025-07-23,448070.3561401367,0.0055728805287749,39.891945892680816,448070.3561401367,0.0,0.5572880528774901,127772.89134979248,Positive
2025-07-24,449611.2300872803,0.0034389107112937,40.37302180383489,449611.2300872803,0.0,0.34389107112937,129313.76529693604,Positive
2025-07-25,450668.3986663818,0.0023512948706738,40.70308016998323,450668.3986663818,0.0,0.23512948706738,130370.93387603754,Positive
2025-07-28,450136.838684082,-0.0011794924691254,40.537121946539976,450668.3986663818,-0.1179492469125409,-0.11794924691254001,129839.37389373773,Negative
2025-07-29,449831.38931274414,-0.0006785700371265,40.441757666483056,450668.3986663818,-0.1857262138003412,-0.06785700371265,129533.9245223999,Negative
2025-07-30,449442.1323394776,-0.0008653397306517,40.32022783373168,450668.3986663818,-0.2720994705936896,-0.08653397306517,129144.66754913336,Negative
2025-07-31,449248.9456939697,-0.0004298365275685,40.259913074252005,450668.3986663818,-0.3149661650589608,-0.042983652756850003,128951.48090362549,Negative
2025-08-01,441899.1902923584,-0.0163600949363562,37.96524758059214,450668.3986663818,-1.9458227823324847,-1.63600949363562,121601.72550201416,Negative
2025-08-04,448168.3242797852,0.0141867967290891,39.92253250369646,450668.3986663818,-0.5547481017073586,1.41867967290891,127870.85948944098,Positive
2025-08-05,445767.41340637207,-0.0053571632427869,39.17294465573,450668.3986663818,-1.0874925498465804,-0.53571632427869,125469.94861602783,Negative
2025-08-06,449739.377746582,0.0089103963653551,40.4130307559462,450668.3986663818,-0.2061429029745487,0.89103963653551,129441.91295623773,Positive
2025-08-07,450164.61013793945,0.0009455084709015,40.54579246595094,450668.3986663818,-0.111786965745364,0.09455084709015,129867.14534759521,Positive
2025-08-08,453976.8183898926,0.0084684761220679,41.73600115350593,453976.8183898926,0.0,0.8468476122067901,133679.35359954834,Positive
2025-08-11,453652.8649139404,-0.0007135903482937,41.63485971107704,453976.8183898926,-0.0713590348293768,-0.07135903482937,133355.40012359613,Negative
2025-08-12,457395.3758239746,0.0082497239618317,42.8033082070662,457395.3758239746,0.0,0.82497239618317,137097.91103363037,Positive
2025-08-13,457313.899230957,-0.0001781316500429,42.77787041814367,457395.3758239746,-0.0178131650042989,-0.01781316500429,137016.43444061273,Negative
2025-08-14,458365.1307678223,0.0022987089144526,43.10607518166041,458365.1307678223,0.0,0.22987089144526,138067.6659774781,Positive
2025-08-15,457158.2409667969,-0.0026330314415576,42.72927238622917,458365.1307678223,-0.2633031441557687,-0.26330314415576,136860.77617645264,Negative
2025-08-18,456921.50299072266,-0.000517846896019,42.6553604755529,458365.1307678223,-0.3149514830417699,-0.0517846896019,136624.03820037842,Negative
2025-08-19,454497.028427124,-0.005306107389846,41.8984158131324,458365.1307678223,-0.8438910556347601,-0.5306107389846,134199.56363677979,Negative
2025-08-20,452981.9320678711,-0.0033335671401333,41.42538791694077,458365.1307678223,-1.1744346021551832,-0.33335671401333,132684.46727752686,Negative
2025-08-21,451633.0435180664,-0.0029777976875302,41.00425172384363,458365.1307678223,-1.468717142265752,-0.29777976875302004,131335.57872772217,Negative
2025-08-22,457229.18113708496,0.0123908949961379,42.75142060096277,458365.1307678223,-0.2478263625408039,1.23908949961379,136931.71634674072,Positive
2025-08-25,455340.3670501709,-0.0041310007428151,42.16171437642229,458365.1307678223,-0.6599026659345752,-0.41310007428151,135042.90225982666,Negative
2025-08-26,456741.6500854492,0.003077440825983,42.59920864013602,458365.1307678223,-0.3541893947415886,0.3077440825983,136444.18529510498,Positive
2025-08-27,458238.21853637695,0.0032766191798969,43.06645194220442,458365.1307678223,-0.0276880205160257,0.32766191798969,137940.75374603271,Positive
2025-08-28,459852.473526001,0.0035227419371086,43.57043813225454,459852.473526001,0.0,0.35227419371086,139555.00873565674,Positive
2025-08-29,458281.07971191406,-0.0034171694283559,43.07983362025334,459852.473526001,-0.3417169428355904,-0.34171694283559,137983.61492156982,Negative
2025-09-02,455703.1878662109,-0.0056251326092791,42.27499058242583,459852.473526001,-0.9023080006452132,-0.56251326092791,135405.72307586664,Negative
2025-09-03,459561.02935791016,0.0084656890590633,43.47944641357779,459852.473526001,-0.0633777537078605,0.8465689059063299,139263.56456756592,Positive
2025-09-04,463614.62699890137,0.0088205861290171,44.74501922841245,463614.62699890137,0.0,0.88205861290171,143317.16220855713,Positive
2025-09-05,459573.3281707764,-0.0087169355597889,43.48328622319797,463614.62699890137,-0.8716935559788919,-0.87169355597889,139275.8633804322,Negative
2025-09-08,460081.3186645508,0.0011053524272097,43.64188582188881,463614.62699890137,-0.7621218418458087,0.11053524272097001,139783.85387420654,Positive
2025-09-09,461692.6287841797,0.003502228963145,44.14495259473499,463614.62699890137,-0.4145680707192678,0.3502228963145,141395.16399383545,Positive
2025-09-10,460937.6174163818,-0.0016353117219698,43.909230664094025,463614.62699890137,-0.5774212948906565,-0.16353117219698002,140640.15262603754,Negative
2025-09-11,464372.8187561035,0.0074526382962112,44.981734107719554,464372.8187561035,0.0,0.74526382962112,144075.35396575928,Positive
2025-09-12,465994.1972351074,0.0034915447535173,45.48794432079919,465994.1972351074,0.0,0.34915447535173,145696.73244476318,Positive
2025-09-15,469271.2217712402,0.0070323290624141,46.51106341987725,469271.2217712402,0.0,0.70323290624141,148973.75698089594,Positive
2025-09-16,468594.61013793945,-0.0014418349174427,46.2998186528468,469271.2217712402,-0.1441834917442763,-0.14418349174427,148297.14534759521,Negative
2025-09-17,468943.0640411377,0.0007436148339301,46.40860936819833,469271.2217712402,-0.0699292253345307,0.07436148339300999,148645.59925079346,Positive
2025-09-18,469364.5673370361,0.0008988368273668,46.54020681814204,469364.5673370361,0.0,0.08988368273668,149067.10254669184,Positive
2025-09-19,473200.0094604492,0.0081715629817855,47.73766934752035,473200.0094604492,0.0,0.8171562981785501,152902.54467010498,Positive
